round_id,mean_reward,std_reward,min_reward,max_reward,n_seeds
1,56.944704712462645,30.830900286367406,16.161851047024363,90.69224452312115,3
2,41.17341359971736,27.748326569170274,7.755264187869364,75.69750748889048,3
3,56.130540000186926,40.68167328236693,13.967150078321701,111.11185478645736,3
4,94.82885928403387,41.61907161668297,60.3144186274412,153.37513049720508,3
5,136.06752675274203,34.80334178106148,106.19543084040073,184.8805921845846,3
6,104.95378228772266,68.74690051906458,9.316207618687807,167.91506710567495,3
7,136.5022716510977,58.6627443782431,57.44053354095989,197.80255829675974,3
8,88.44965144718901,61.4191015392776,20.296136647919212,169.16097613566473,3
9,96.46587849411354,59.859804462296154,22.575565887435516,169.187571278253,3
10,150.33342156832035,50.226873350332035,108.54450866536547,220.97095068944074,3
11,118.1675161683642,63.96115200583409,28.139672070693884,170.78301135795772,3
12,175.82430054390372,63.15425411800927,86.51152384255279,220.8133422037627,3
13,132.85626476618324,61.140154675856714,85.5787147217008,219.19115383885918,3
14,121.07316607230513,69.70310999214654,23.054331854853558,179.1388747981735,3
15,152.46077222643774,68.47070042021363,67.07299700943777,234.7027458400819,3
16,147.19429798824672,86.02986325492589,29.911609573428578,233.8585668491673,3
17,153.4874867156923,64.23257308900614,62.92377405445233,204.88453970799424,3
18,156.766278713947,36.30066783909739,114.72473924153402,203.30154329992223,3
19,151.43124620716597,43.99267516362513,115.57322386330385,213.39075677745353,3
20,152.23929001208236,50.53256917585479,88.49377039356037,212.08868949969457,3
21,128.9082133969091,57.85383877124906,47.768487787173996,178.58075090964104,3
22,160.77109911734763,71.3153047146318,67.13945163712705,240.04682076881855,3
23,204.22766565553266,39.85939564588823,148.00209268859152,235.8291252804081,3
24,180.99973511584824,51.296556158358385,109.99188195645426,229.36517804595587,3
25,224.44890219164787,22.194033484540167,204.37848108876915,255.38258950657828,3
26,207.19243060262883,27.068210024857525,169.1829228275049,230.13291567312137,3
27,211.90655790143418,19.79289196266331,184.21737527530564,229.30357549679752,3
28,192.37994957534693,33.82525695665968,146.07862329272268,225.9403389680337,3
29,208.95722681659856,14.690948373032633,188.2097634096225,220.2759547003998,3
30,215.3708318922297,29.666846696630028,173.59661585780472,239.62971176025238,3
31,189.74068791024806,1.5111228850781089,187.64754017397576,191.16047482252097,3
32,267.7396300682122,25.012899947875106,248.32674371818814,303.05510735961377,3
33,202.42639876337387,6.462121310446872,193.346318855765,207.862334581649,3
34,227.05615633457901,10.607031583242279,212.06369049211486,234.98035477283105,3
35,229.36049189169705,5.197337582514022,222.8786197393503,235.6026738708902,3
36,213.6965403029108,16.43902457347331,191.21677843315678,230.07037907753036,3
37,234.1084063156521,21.71859349022812,205.96677349800296,258.8367239118155,3
38,258.5976252408468,31.917778989183276,215.8615751229245,292.5489502899675,3
39,202.2093649976573,68.78772258820781,125.95684218964126,292.64997187561823,3
40,212.6665918701567,1.3958938687668785,211.35530173504998,214.60019162214542,3
41,214.21300337007196,31.1429494874,170.6138833476948,241.41279523905024,3
42,238.4561968919596,30.246678689235978,214.12747372963457,281.0898426715248,3
43,225.13736457777202,22.192540152543714,204.78748583828857,256.004695885123,3
44,261.8014389810312,43.798373720947566,206.12731130981234,313.1489248021411,3
45,243.93199615812213,27.382926549374734,219.92470095151367,282.25055079640833,3
46,258.37086786414505,46.290640464010586,221.7580249273956,323.6757987867474,3
47,220.0721755135069,18.026668880549767,194.7209243712448,235.07733656085165,3
48,249.81584782493857,38.316219038561165,211.2428447098858,302.06128648806794,3
49,274.3441627908746,63.19006828756376,228.88590491095096,363.70389422077506,3
50,220.91438736198188,71.27185237611451,144.50191486185105,316.04483591662427,3
